 A(v)	f(hz)	 sens	ctime	delay(ms)
  1.1	    1	   25	   11	 8000
  1.1	    2	   25	   11	 8000
  1.1	    4	   25	   10	 8000
  1.1	    6	   25	   10	 8000
  1.1	    8	   25	   10	 8000
  1.1	   10	   25	    9	 8000
  1.1	   20	   25	    9	 8000
  1.1	   30	   25	    8	 8000
  1.1	   40	   25	    8	 8000
  1.1	   50	   25	    8	 8000
  1.1	   60	   25	    8	 8000
  1.1	   70	   25	    8	 8000
  1.1	   80	   25	    8	 8000
  1.1	   90	   25	    8	 8000
  1.1	  100	   25	    7	 8000
  1.1	  150	   25	    7	 8000
  1.1	  200	   25	    7	 8000
  1.1	  250	   25	    7	 8000
  1.1	  300	   25	    7	 8000
  1.1	  400	   20	    6	 8000
  1.1	  500	   20	    6	 8000
  1.1	  600	   20	    6	 8000
  1.1	  700	   20	    6	 8000
  1.1	  800	   20	    6	 8000
  1.1	  900	   20	    6	 8000
  1.1	 1000	   20	    5	 8000
  1.1	 1100	   20	    5	 8000
  1.1	 1200	   20	    5	 8000
  1.1	 1300	   20	    5	 8000
  1.1	 1400	   20	    5	 8000
  1.1	 1500	   20	    5	 8000
  1.1	 2000	   20	    5	 8000
  1.1	 3000	   20	    4	 8000
  1.1	 4000	   20	    4	 8000
  1.1	 5000	   20	    4	 8000
  1.1	 6000	   20	    4	 8000
  1.1	 7000	   20	    4	 8000
  1.1	 8000	   20	    4	 8000
  1.1	 9000	   20	    4	 8000
  1.1	1e+04	   20	    3	 8000
  1.1	  NaN	   20	    3	 8000
  1.1	2e+04	   20	    3	 8000
  1.1	  NaN	   20	    3	 8000
  1.1	3e+04	   20	    3	 8000
  1.1	  NaN	   20	    2	 8000
  1.1	4e+04	   20	    2	 8000
  1.1	5e+04	   20	    2	 8000
  1.1	6e+04	   20	    2	 8000
  1.1	7e+04	   20	    2	 8000
  1.1	8e+04	   20	    2	 8000

Amplitude in mV	 Phase in Grad
        0.9766	      275.7120
        1.0376	      264.5580
        1.0376	      257.2740
        1.0071	      245.0940
        1.0071	      239.6760
        1.0071	      236.3100
        1.0376	      236.0580
        1.0071	      234.7800
        1.0071	      234.4620
        1.0071	      233.4960
        1.0071	      233.4960
        1.0071	      233.6940
        0.9460	      234.9240
        0.9460	      237.6780
        0.9155	      241.1460
        0.9155	      242.9700
        0.8359	      243.0720
        0.8574	      246.6480
        0.9155	      248.7180
        0.8135	      246.2760
        0.7505	      249.4980
        0.8307	      249.4200
        0.8907	      249.1500
        0.9809	      249.0180
        0.9246	      245.4060
        0.9408	      245.4180
        0.9136	      245.2320
        0.9866	      244.4340
        0.9804	      238.6320
        0.9112	      229.2600
        1.0886	      216.0900
        0.9885	      205.3560
        0.9804	      197.2380
        0.9742	      186.9300
        1.0419	      171.7920
        0.9489	      162.2340
        1.5359	      157.1580
        0.4911	      131.0040
        0.4954	      177.3240
        0.4382	      153.9780
        0.5641	      145.0320
        0.9852	      134.2500
        0.4149	      178.4340
        0.5388	      158.2500
        0.6037	      138.1560
        0.5088	      136.0260
        0.4997	      135.7620
             6
        0.7324	      345.9660
        0.8545	      318.9180
        0.9766	      287.5260
        0.9766	      274.7640
        1.0376	      264.6420
        1.0071	      258.6900
        1.0071	      244.6980
        1.0071	      239.6760
        1.0071	      238.3920
        1.0376	      236.0580
        1.0071	      234.2460
        1.0071	      234.2460
        1.0071	      233.4960
        1.0071	      235.0080
        1.0071	      233.6940
        0.9460	      234.1200
        0.9460	      238.5240
        0.9155	      241.1460
        0.9155	      242.9700
        0.8512	      247.1760
        0.8869	      247.5360
        0.8183	      247.2840
        0.8206	      246.4080
        0.7329	      249.4740
        0.8330	      249.5520
        0.8173	      251.7120
        0.8836	      249.5460
        0.8659	      245.0040
        0.9031	      246.5700
        0.9337	      246.1980
        0.9055	      244.1340
        0.9356	      237.9660
        0.9966	      225.4020
        0.9861	      209.3640
        0.9880	      203.6940
        1.0028	      193.3920
        0.8512	      177.9900
        1.0166	      174.3900
        1.0762	      149.8920
        0.7906	      154.0200
        1.1344	      163.2240
        0.4048	      150.7020
        0.3462	      175.1100
        0.9952	      144.0720
        1.0357	      180.5160
        0.8831	      158.1540
        0.5069	      137.1180
        0.6318	      145.3080
        0.5312	      140.4240
        0.5178	      140.8620
             7
        0.7629	      346.2660
        0.8545	      318.9180
        0.9460	      287.1780
        0.9766	      273.8160
        1.0376	      265.5360
        0.9460	      260.0520
        1.0071	      245.0940
        1.0071	      239.6760
        1.0071	      237.6000
        1.0376	      236.0580
        1.0071	      234.2460
        1.0376	      234.0420
        1.0071	      233.4960
        1.0071	      234.2460
        1.0071	      234.2460
        0.9766	      233.9040
        0.9460	      238.5240
        0.9155	      241.1460
        0.9155	      242.9700
        0.9022	      242.5020
        0.8631	      247.3260
        0.8426	      246.9480
        0.8059	      246.6840
        0.7281	      250.3860
        0.8321	      249.9540
        0.8626	      249.3720
        0.9112	      250.0620
        0.9728	      243.7680
        0.9146	      247.1640
        0.9160	      243.9960
        0.8593	      247.5420
        1.0548	      242.0160
        0.8950	      222.4680
        1.1068	      213.0180
        1.0710	      206.5800
        1.0653	      195.8400
        0.9842	      185.0100
        0.9365	      173.8320
        0.9413	      157.3260
        0.9489	      143.7060
        0.9809	      220.1640
        0.2236	      166.9380
        0.3862	      145.9860
        0.6142	      198.3180
        0.5293	      196.6920
        0.6332	      125.2560
        0.6652	      154.6380
        0.5527	      137.1180
        0.5851	      137.0040
        0.5560	      150.0180
             8
        0.7629	      347.4720
        0.8545	      317.3520
        0.9155	      287.7840
        0.9766	      274.7640
        1.0071	      264.4740
        0.9766	      257.7720
        1.0376	      245.0340
        1.0071	      239.6760
        1.0071	      237.6000
        1.0376	      236.0580
        1.0071	      235.5360
        1.0071	      233.4960
        1.0071	      234.0420
        1.0071	      234.4620
        1.0071	      233.6940
        0.9766	      233.1300
        0.9460	      237.6780
        0.9155	      241.1460
        0.9155	      242.9700
        0.8512	      248.1720
        0.8607	      246.8940
        0.8559	      247.1760
        0.8202	      246.7140
        0.7939	      245.9880
        0.7677	      250.8000
        0.8345	      250.6260
        0.8426	      250.4040
        0.9651	      250.4220
        0.8254	      246.1320
        0.9398	      245.6220
        0.9098	      240.7200
        0.9751	      240.7860
        1.0042	      221.9940
        1.0672	      217.0440
        1.0486	      206.1480
        1.0624	      190.0440
        0.8578	      180.7800
        0.9451	      178.1820
        0.9298	      174.9360
        1.5798	      146.1960
        0.5722	      142.8240
        0.4654	      160.5600
        0.5255	      178.7160
        0.6495	      185.7000
        0.5646	      237.2040
        0.8020	      139.6020
        0.6552	      138.4260
        0.5775	      149.2260
        0.6585	      135.7320
        0.5417	      138.1020
             9
        0.7629	      347.4720
        0.8545	      317.3520
        0.9155	      286.5060
        0.9766	      273.8160
        1.0071	      265.3140
        1.0681	      261.1200
        1.0071	      245.9400
        1.0376	      240.5940
        1.0071	      236.8200
        0.9155	      239.3820
        1.0071	      234.7800
        1.0071	      233.4960
        1.0071	      233.4960
        1.0071	      232.9440
        1.0071	      233.4960
        1.0071	      233.6940
        0.9460	      238.5240
        0.9155	      241.1460
        0.9155	      245.2260
        0.9246	      243.0000
        0.8693	      246.8400
        0.8521	      247.1460
        0.8798	      247.5420
        0.7949	      246.3360
        0.8616	      250.4340
        0.8612	      248.5080
        0.9799	      247.9620
        0.8593	      246.7200
        0.9232	      244.3620
        0.9079	      245.5920
        0.9832	      245.1420
        0.9098	      237.3060
        1.0948	      228.3060
        0.9093	      210.0180
        1.0266	      206.5740
        0.9098	      192.7380
        1.0853	      179.7060
        0.9708	      172.7880
        0.8183	      160.5180
        0.7649	      167.1600
        1.1978	      142.0200
        0.3972	      157.1160
        0.4358	      158.5860
        0.5980	      174.6180
        0.7749	      250.5360
        0.6733	      155.4540
        0.4993	      143.4960
        0.5899	      158.5980
        0.5569	      134.4960
        0.5798	      146.1120
            10
        0.7629	      348.9300
        0.8240	      316.5900
        0.9460	      288.4320
        1.0071	      275.5260
        1.0071	      264.3840
        1.0071	      261.6060
        1.0071	      244.6980
        1.0071	      240.1380
        0.9460	      233.1300
        1.0071	      239.1960
        1.0071	      234.2460
        1.0071	      233.6940
        1.0376	      234.5640
        1.0071	      232.9440
        1.0071	      234.2460
        1.0071	      234.2460
        0.9766	      238.5240
        0.9155	      241.1460
        0.9155	      242.9700
        0.9308	      244.8420
        0.8612	      247.1100
        0.8378	      247.3740
        0.8259	      246.4140
        0.7601	      249.1320
        0.8287	      248.7780
        0.8426	      247.4760
        0.8969	      250.0980
        0.9880	      249.8220
        0.8845	      246.4740
        0.8593	      244.2840
        0.9618	      244.6560
        0.9642	      237.9960
        0.8483	      228.4500
        1.1020	      211.7400
        0.9799	      204.4740
        1.0696	      197.5380
        0.8678	      188.2440
        0.9894	      174.7380
        1.2341	      158.8020
        1.3981	      169.7640
        0.4721	      135.9540
        0.3524	      177.6840
        0.3576	      157.9440
        0.2399	      335.5140
        0.2532	      225.0900
        0.8740	      220.0440
        0.4020	      158.3340
        0.5980	      136.6860
        0.5999	      148.9680
        0.5159	      137.7780
